date	total	disease	wounds	other
4/1854	8571	145	130	464
5/1854	23333	128	150	95
6/1854	28333	117	47	68
7/1854	28772	359	45	23
8/1854	30246	828	1	30
9/1854	30290	788	81	70
10/1854	30643	503	132	128
11/1854	29736	844	287	106
12/1854	32779	1725	114	131
1/1855	32393	2761	83	324
2/1855	30919	2120	42	361
3/1855	30107	1205	32	172
4/1855	32252	477	48	57
5/1855	35473	508	49	37
6/1855	38863	802	209	231
7/1855	42647	382	134	33
8/1855	44614	483	164	25
9/1855	47751	189	276	320
10/1855	46852	128	533	78
11/1855	37853	178	33	32
12/1855	43217	91	580	128
1/1856	44212	42	452	483
2/1856	43485	24	440	195
3/1856	46140	155	1044	335
